date,open,close,high,low,volume
2019-01-02,14.45,14.73,14.8,14.3,1246036.12
2019-01-03,14.3,14.34,14.37,14.11,507045.28
2019-01-04,14.42,14.35,14.59,14.23,1004109.81
2019-01-07,13.67,14.58,14.58,13.55,2379375.25
2019-01-08,13.72,13.69,14.09,13.66,1533890.75
2019-01-09,13.49,13.42,13.59,13.21,774324.62
2019-01-10,13.73,13.54,13.96,13.49,655356.62
2019-01-11,13.75,13.73,13.88,13.4,947135.06
2019-01-14,13.87,13.81,13.98,13.75,781332.38
2019-01-15,13.9,13.96,14.43,13.72,1743176.12
2019-01-16,13.43,13.86,14.0,13.43,2034365.0
2019-01-17,13.21,13.44,13.45,13.15,792915.75
2019-01-18,13.28,13.36,13.48,13.23,1100384.0
2019-01-21,12.83,13.18,13.55,12.83,1951401.12
2019-01-22,12.26,12.82,12.82,12.21,1669506.38
2019-01-23,12.31,12.22,12.31,12.1,732467.44
2019-01-24,12.24,12.38,12.47,12.18,922826.81
2019-01-25,12.23,12.1,12.29,12.01,935393.25
2019-01-28,12.4,12.11,12.4,12.1,1179883.25
2019-01-29,12.69,12.59,12.74,12.5,713502.06
2019-01-30,12.77,12.69,12.8,12.58,860140.81
2019-01-31,12.68,12.75,12.88,12.62,929996.38
2019-02-01,12.92,12.79,12.94,12.61,957196.5
2019-02-11,12.53,12.91,12.94,12.32,1486454.75
2019-02-12,12.34,12.5,12.68,12.34,1045406.0
2019-02-13,12.33,12.43,12.62,12.27,1057467.88
2019-02-14,12.34,12.37,12.55,12.13,1269427.25
2019-02-15,12.49,12.36,12.64,12.24,1411794.88
2019-02-18,12.3,12.32,12.49,12.05,1157650.75
2019-02-19,12.49,12.3,12.7,12.25,1778162.12
2019-02-20,13.06,12.74,13.06,12.55,1782057.25
2019-02-21,13.06,13.08,13.15,12.84,1245760.12
2019-02-22,12.91,13.06,13.29,12.84,1408422.25
2019-02-25,12.7,12.99,13.38,12.62,2456830.5
2019-02-26,12.48,12.76,12.78,12.2,1712679.25
2019-02-27,12.44,12.36,12.61,12.27,1113099.88
2019-02-28,12.24,12.4,12.66,12.15,1979013.88
2019-03-01,12.55,12.2,12.57,12.15,2017545.0
2019-03-04,11.7,12.55,12.64,11.57,2824935.0
2019-03-05,11.35,11.54,11.57,11.15,1184047.75
2019-03-06,11.38,11.36,11.55,11.28,754246.5
2019-03-07,11.33,11.41,11.53,11.25,832629.81
2019-03-08,11.36,11.27,11.62,11.24,1270882.12
2019-03-11,11.05,11.36,11.36,11.04,1255522.25
2019-03-12,11.23,10.95,11.23,10.9,1100127.5
2019-03-13,11.3,11.25,11.33,11.19,869185.19
2019-03-14,11.19,11.38,11.41,11.12,1137365.75
2019-03-15,11.2,11.19,11.31,11.03,959936.88
2019-03-18,11.08,11.21,11.21,10.97,801936.62
2019-03-19,11.2,11.2,11.25,10.96,1014270.06
2019-03-20,10.98,11.1,11.2,10.94,831622.75
2019-03-21,10.95,10.95,11.18,10.86,712001.06
2019-03-22,10.96,11.0,11.07,10.77,826631.12
2019-03-25,11.04,10.94,11.14,10.88,1035909.75
2019-03-26,10.56,11.0,11.04,10.55,2108362.0
2019-03-27,10.4,10.52,10.55,10.37,679240.88
2019-03-28,10.29,10.35,10.47,10.29,537876.62
2019-03-29,10.34,10.28,10.44,10.26,424413.56
2019-04-01,10.34,10.34,10.47,10.32,659355.75
2019-04-02,10.34,10.43,10.49,10.28,738793.25
2019-04-03,10.54,10.25,10.57,10.17,882811.94
2019-04-04,10.24,10.48,10.5,10.23,977699.38
2019-04-08,10.11,10.24,10.28,10.09,542160.56
2019-04-09,10.22,10.11,10.25,10.07,500443.59
2019-04-10,10.11,10.2,10.22,10.05,696364.56
2019-04-11,9.87,10.1,10.2,9.86,1071817.62
2019-04-12,9.74,9.94,10.08,9.7,1233486.38
2019-04-15,9.73,9.66,9.74,9.62,402388.12
2019-04-16,9.84,9.74,9.85,9.63,865687.69
2019-04-17,9.24,9.75,9.82,9.22,1481159.0
2019-04-18,9.18,9.28,9.33,9.15,415537.97
2019-04-19,9.39,9.19,9.42,9.16,539386.31
