date,open,close,high,low,volume,MA_5,MA_10,MA_20
2019-01-02,6.99,7.31,7.36,6.93,295769.12,-,-,-
2019-01-03,6.96,7.11,7.49,6.95,271071.62,-,-,-
2019-01-04,7.11,6.88,7.12,6.77,190694.56,-,-,-
2019-01-07,7.04,7.07,7.31,6.96,240090.59,-,-,-
2019-01-08,7.08,7.05,7.11,6.84,218522.64,7.0840000000000005,-,-
2019-01-09,6.79,6.97,6.98,6.71,204326.0,7.016,-,-
2019-01-10,6.53,6.76,6.77,6.51,157842.2,6.946,-,-
2019-01-11,6.38,6.54,6.55,6.31,117692.51,6.877999999999998,-,-
2019-01-14,6.53,6.37,6.59,6.34,129218.41,6.737999999999998,-,-
2019-01-15,6.64,6.58,6.7,6.43,143919.05,6.643999999999998,6.864,-
2019-01-16,7.1,6.61,7.14,6.57,275549.03,6.571999999999998,6.794,-
2019-01-17,7.08,7.09,7.27,7.02,266312.41,6.637999999999998,6.792,-
2019-01-18,7.01,7.31,7.38,6.88,412060.47,6.791999999999999,6.835000000000001,-
2019-01-21,6.88,7.01,7.08,6.85,258515.28,6.919999999999999,6.829000000000002,-
2019-01-22,6.86,6.9,6.99,6.7,193501.05,6.983999999999999,6.814000000000003,-
2019-01-23,6.93,6.89,7.08,6.81,235276.72,7.039999999999999,6.806000000000003,-
2019-01-24,6.97,6.86,6.97,6.66,217319.5,6.994,6.8160000000000025,-
2019-01-25,6.6,6.83,6.96,6.59,233658.55,6.897999999999999,6.8450000000000015,-
2019-01-28,6.67,6.6,6.85,6.45,165930.05,6.816,6.868,-
2019-01-29,7.05,6.72,7.05,6.61,225393.09,6.779999999999999,6.882000000000001,6.873
2019-01-30,6.8,7.01,7.09,6.77,348001.03,6.803999999999999,6.9220000000000015,6.858
2019-01-31,6.45,6.74,6.79,6.45,210100.59,6.779999999999999,6.8870000000000005,6.839499999999999
2019-02-01,6.94,6.41,6.94,6.4,345389.53,6.696000000000001,6.797,6.816
2019-02-11,6.74,7.08,7.15,6.71,381505.31,6.792,6.803999999999999,6.8165000000000004
2019-02-12,6.58,6.81,6.9,6.55,351918.19,6.8100000000000005,6.794999999999999,6.8045
2019-02-13,6.41,6.6,6.6,6.38,217679.12,6.7280000000000015,6.765999999999998,6.786
2019-02-14,6.42,6.47,6.65,6.4,238933.95,6.674000000000001,6.7269999999999985,6.7715000000000005
2019-02-15,6.47,6.44,6.5,6.3,165941.59,6.6800000000000015,6.687999999999998,6.766500000000001
2019-02-18,6.69,6.51,6.69,6.41,245846.23,6.566000000000001,6.678999999999999,6.7735
2019-02-19,6.32,6.64,6.68,6.3,355997.59,6.532000000000001,6.670999999999999,6.776499999999999
2019-02-20,6.27,6.39,6.64,6.24,336592.25,6.49,6.608999999999999,6.765499999999998
2019-02-21,6.15,6.37,6.5,6.06,257538.77,6.470000000000001,6.572,6.729499999999997
2019-02-22,5.9,6.03,6.03,5.85,150915.84,6.388,6.534000000000001,6.665499999999997
2019-02-25,5.89,5.98,6.07,5.83,178891.16,6.282000000000001,6.424000000000001,6.613999999999997
2019-02-26,6.01,5.93,6.16,5.87,188814.88,6.140000000000001,6.336000000000001,6.5654999999999974
2019-02-27,5.84,5.95,6.05,5.79,162944.53,6.052000000000001,6.271000000000002,6.518499999999998
2019-02-28,5.74,5.85,5.86,5.72,110680.3,5.948000000000001,6.209000000000001,6.467999999999996
2019-03-01,5.83,5.72,5.83,5.66,73991.31,5.886000000000001,6.137000000000002,6.412499999999996
2019-03-04,5.67,5.77,5.83,5.63,92735.28,5.844,6.0630000000000015,6.370999999999997
2019-03-05,5.62,5.68,5.77,5.53,100171.04,5.794000000000001,5.967000000000001,6.318999999999997
2019-03-06,5.49,5.6,5.64,5.43,66978.39,5.724000000000002,5.888000000000001,6.248499999999996
2019-03-07,5.35,5.49,5.52,5.35,54163.33,5.652000000000001,5.800000000000001,6.185999999999996
2019-03-08,5.18,5.34,5.38,5.17,46932.0,5.576000000000002,5.731,6.132499999999996
2019-03-11,5.31,5.17,5.46,5.15,85307.88,5.456000000000002,5.65,6.036999999999996
2019-03-12,5.6,5.43,5.62,5.35,99647.03,5.4060000000000015,5.6,5.967999999999996
2019-03-13,5.97,5.64,6.0,5.37,128771.93,5.4140000000000015,5.569,5.919999999999996
2019-03-14,5.94,5.97,6.04,5.89,74162.53,5.510000000000001,5.5809999999999995,5.894999999999997
2019-03-15,5.95,5.86,5.97,5.85,53696.93,5.614000000000001,5.595,5.865999999999997
2019-03-18,5.92,5.95,5.99,5.84,68725.0,5.7700000000000005,5.6129999999999995,5.8379999999999965
2019-03-19,6.09,5.9,6.1,5.9,85038.93,5.864,5.635,5.800999999999997
2019-03-20,6.07,6.05,6.13,6.03,69655.09,5.946,5.679999999999999,5.783999999999997
