date,close,open,high,low,volume,MA_5,EMA10,MA_10,MA_20,MA_30,MA_60,EMA20,EMA30,KValue,DValue,JValue,PSY,EMA12,EMA26,DIFF,DEA,MACD,RSI12,RSI6,RSI24,UPPER,MID,LOWER,MOM25,MOM25_MA_10,OBV,TRIX12,TRIX20
2018-01-02,16.0,15.99,16.16,15.68,60926.66,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,55.555555555555536,51.851851851851855,44.44444444444443,50.0,-,-,-,-,-,-,-,-,-,-,-,-,-,60926.66,-,-
2018-01-03,15.9,15.9,16.17,15.87,32450.8,15.95,15.98181818181818,15.98181818181818,15.990476190476189,15.993548387096775,15.99672131147541,15.990476190476189,15.993548387096775,52.00302343159482,51.90224237843282,51.70068027210882,50.0,-,-,-,-,-,-,-,-,-,-,-,-,-,28475.860000000004,-,-
2018-01-04,15.67,15.8,15.9,15.66,27247.0,15.856666666666667,15.925123966942149,15.925123966942149,15.959954648526075,15.97267429760666,15.986009137328676,15.959954648526075,15.97267429760666,35.322277058971686,46.37558727194578,68.48220769789395,50.0,-,-,-,-,-,-,-,-,-,-,-,-,-,1228.8600000000042,-,-
2018-01-05,15.57,15.66,15.86,15.54,32086.0,15.785,15.860555972952664,15.860555972952664,15.922816110571215,15.946695310664294,15.972369493481832,15.922816110571215,15.946695310664294,25.13548629328277,39.29555361239144,67.6156882506088,50.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-30857.139999999996,-,-
2018-01-08,15.92,15.43,15.97,15.42,34449.27,15.812000000000001,15.87136397787036,15.87136397787036,15.922547909564429,15.944973032556925,15.970652460908651,15.922547909564429,15.944973032556925,38.979213084410674,39.19010676973119,39.61189414037222,50.0,-,-,-,-,-,-,-,-,-,-,-,-,-,3592.130000000001,-,-
2018-01-09,15.9,15.91,16.07,15.61,35295.0,15.792000000000002,15.876570527348475,15.876570527348475,15.920400489605914,15.942071546585511,15.968335986780506,15.920400489605914,15.942071546585511,47.31947538960708,41.899896309689815,31.0607381498553,50.0,15.826666666666668,-,-,-,-,-,-,-,-,-,-,-,-,-31702.87,-,-
2018-01-10,15.97,15.95,16.14,15.82,39732.33,15.806,15.893557704194205,15.893557704194205,15.925124252500586,15.943873382289677,15.968390544590974,15.925124252500586,15.943873382289677,55.99076137084914,46.59685133007625,27.809031248530477,50.0,15.86761904761905,-,-,-,-,-,48.27586206896555,-,-,-,-,-,-,8029.460000000003,-,-
2018-01-11,16.51,15.97,16.88,15.88,164367.23,15.974,16.005638121613444,16.005638121613444,15.980826704643388,15.980397680206465,15.986148231653571,15.980826704643388,15.980397680206465,62.21301899609125,51.80224055208125,30.98068366406125,50.0,16.051156462585034,-,-,-,-,-,70.3557312252965,-,-,-,-,-,-,172396.69,-,-
2018-01-12,16.48,16.46,16.65,16.27,126984.25,16.156,16.091885735865546,16.091885735865546,16.028367018486875,16.012630087935086,16.002340092910828,16.028367018486875,16.012630087935086,65.67625923940332,56.42691344785527,37.92822186475917,50.0,16.173683187560737,-,-,-,-,-,68.4089162182936,-,-,-,-,-,-,45412.44,-,-
2018-01-15,16.55,16.46,16.6,16.1,71283.63,16.282,16.175179238435444,16.175179238435444,16.078046350059555,16.04729911451992,16.02029615543834,16.078046350059555,16.04729911451992,69.58325958425978,60.8123621599901,43.27056731145075,50.0,16.2812022768291,-,-,-,-,-,70.68055357397628,-,-,-,-,-,-,116696.07,-,-
2018-01-16,16.35,16.53,16.65,16.31,42674.63,16.372000000000003,16.20696483144718,16.20696483144718,16.10394669767293,16.066828203905732,16.031106117555115,16.10394669767293,16.066828203905732,67.62171643516865,63.082146918382946,54.003007884811524,50.0,16.300858769163643,-,-,-,-,-,56.701384914730504,-,-,-,-,-,-,74021.44,-,-
2018-01-17,16.29,16.36,16.36,15.96,63177.8,16.436,16.22206213482042,16.22206213482042,16.121666059799313,16.081226384298912,16.0395944415697,16.121666059799313,16.081226384298912,64.94415798874257,63.702817275169494,61.22013584802332,50.0,16.297756263688317,16.0925,-,-,-,-,52.93255319967338,-,-,-,-,-,-,10843.64,-,-
2018-01-18,16.18,16.21,16.4,16.17,52324.0,16.369999999999994,16.21441447394398,16.21441447394398,16.127221673151762,16.087598875634466,16.044197902501846,16.127221673151762,16.087598875634466,60.64770349934437,62.68444601656111,66.7579310509946,33.33333333333333,16.264111616920225,16.10596153846154,-,-,-,54.787234042553166,46.17970598609796,-,-,-,-,-,-,-41480.36,-,-
2018-01-19,16.2,16.24,16.34,15.81,132477.34,16.314,16.211793660499616,16.211793660499616,16.134152942375405,16.094850561077404,16.049306167993585,16.134152942375405,16.094850561077404,58.24002151097842,61.202971181366884,67.1288705221438,41.66666666666667,16.245794012085874,16.12042899408284,-,-,-,55.30592734225619,47.63719581873599,-,-,-,-,-,-,90996.98,-,-
2018-01-23,17.51,16.21,17.72,16.21,208150.48,16.506,16.447831176772414,16.447831176772414,16.265185995482508,16.186150524878858,16.097197769042975,16.265185995482508,16.186150524878858,69.11653607978275,63.8408261475055,53.28940628295101,50.0,16.60699572291848,16.334209148839324,-,-,-,75.43939249211958,83.26286768261272,-,-,-,-,-,-,299147.46,-,-
2018-01-24,18.19,17.51,18.42,17.38,418685.28,16.874000000000002,16.764589144631973,16.764589144631973,16.448501614960364,16.315431136177,16.165814235631732,16.448501614960364,16.315431136177,76.85546849763294,68.17904026421465,50.826183797378064,58.33333333333334,17.059282659227485,16.619715433633274,-,-,-,80.43121043345901,88.244729339911,-,-,-,-,-,-,717832.74,-,-
2018-01-25,17.63,17.69,17.69,17.37,115122.47,17.142,16.921936572880703,16.921936572880703,16.561025270678424,16.400242030617193,16.213820326266752,16.561025270678424,16.400242030617193,75.79253455397748,70.71687169413559,60.56554597445179,50.0,17.22234475659106,16.775143828458923,-,-,-,68.0125109762901,68.18732864347047,-,-,-,-,-,-,602710.27,-,-
