date,Unnamed: 0,PSY,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,MA_5,MA_10,MA_20,EMA10,EMA20,EMA30,EMA12,EMA26,DIFF,DEA,MACD,TRIX12,TRIX20,OBV,MOM25,MOM25_MA_10,UPPER,MID,LOWER,RSI12,RSI6,RSI24,KValue,DValue,JValue
2016-07-05,0,-,15.94,15.95,15.79,15.75,161716.16,-0.14,-0.88,15.79,15.79,15.79,161716.16,161716.16,161716.16,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,161716.16,-,-,-,-,-,-,-,-,-,-,-
2016-07-06,1,-,15.71,15.76,15.64,15.61,229765.09,-0.15,-0.95,15.715,15.715,15.715,195740.63,195740.63,195740.63,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-68048.93,-,-,-,-,-,-,-,-,-,-,-
2016-07-07,2,-,15.63,15.64,15.57,15.45,244980.42,-0.07,-0.45,15.667,15.667,15.667,212153.89,212153.89,212153.89,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-313029.35,-,-,-,-,-,-,-,-,-,-,-
2016-07-08,3,-,15.55,15.56,15.45,15.44,149013.31,-0.12,-0.77,15.613,15.613,15.613,196368.75,196368.75,196368.75,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-462042.66,-,-,-,-,-,-,-,-,-,-,-
2016-07-11,4,-,15.56,15.57,15.42,15.4,228524.91,-0.03,-0.19,15.574000000000002,15.574000000000002,15.574000000000002,202799.98,202799.98,202799.98,15.574000000000002,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-690567.57,-,-,-,-,-,-,-,-,-,-,-
2016-07-12,5,-,15.48,15.65,15.64,15.45,255451.3,0.21,1.36,15.544,15.585,15.585,221547.01,211575.2,211575.2,15.544,0.0,0.0,-,-,-,15.585,-,-,-,-,-,-,-435116.26999999996,-,-,-,-,-,-,-,-,-,-,-
2016-07-13,6,-,15.65,15.97,15.8,15.64,362380.56,0.16,1.02,15.576,15.616,15.616,248070.1,233118.82,233118.82,15.576,0.0,0.0,-,-,-,15.646428571428572,-,-,-,-,-,-,-72735.70999999996,-,-,-,-,-,-,50.66666666666677,-,-,-,-
2016-07-14,7,-,15.77,15.84,15.71,15.64,168834.2,-0.08,-0.51,15.604,15.628,15.628,232840.86,225083.24,225083.24,15.604000000000005,0.0,0.0,-,-,-,15.664591836734695,-,-,-,-,-,-,-241569.90999999997,-,-,-,-,-,-,44.28904428904439,-,-,-,-
2016-07-15,8,-,15.71,15.75,15.71,15.65,159981.0,0.01,0.06,15.656,15.637,15.637,235034.39,217849.66,217849.66,15.656000000000002,0.0,0.0,-,-,-,15.67756559766764,-,-,-,-,-,-,-241569.90999999997,-,-,-,-,-,-,44.28904428904439,-,-,-,-
2016-07-18,9,-,15.73,15.91,15.76,15.66,277669.81,0.05,0.32,15.724,15.649,15.649,244863.37,223831.68,223831.68,15.724000000000006,15.649,0.0,15.649000000000001,-,-,15.701118284048313,-,-,-,-,-,-,36099.90000000002,-,-,-,-,-,-,49.38585345192714,-,-,-,-
2016-07-19,10,0.3,15.77,15.8,15.73,15.65,171798.16,-0.04,-0.25,15.742,15.643,15.656,228132.75,224839.88,219101.36,15.742000000000004,15.642999999999999,0.0,15.663727272727273,-,-,15.709370202891652,-,-,-,-,-,-,-135698.25999999998,-,-,-,-,-,-,46.33382607728137,-,-,-,-
2016-07-20,11,0.4,15.7,15.76,15.75,15.63,148665.27,0.02,0.13,15.732,15.654000000000002,15.664,185389.69,216729.89,213231.68,15.732000000000005,15.654000000000002,0.0,15.679413223140497,-,-,15.72097871635118,15.664166666666667,-,-,-,-,-,12967.01000000001,-,-,-,-,-,-,48.86207011453516,-,-,-,-
2016-07-21,12,0.5,15.74,15.87,15.84,15.7,220204.45,0.09,0.57,15.758,15.681,15.678,195663.74,214252.3,213768.05,15.758000000000004,15.681000000000004,0.0,15.708610818933133,-,-,15.7549847973937,15.691217948717949,-,-,-,-,-,233171.46000000002,-,-,-,-,-,52.42718446601946,59.233060402639204,-,65.49707602339174,61.598440545808906,73.29434697855741
2016-07-22,13,0.5,15.81,15.82,15.61,15.58,167117.0,-0.22,-1.39,15.738,15.697,15.673,197090.94,216062.67,210435.83,15.738000000000005,15.697000000000005,0.0,15.690681579127109,-,-,15.713560569566928,15.678722879684418,-,-,-,-,-,66054.46000000002,-,-,-,-,-,42.15755855216466,36.520039666551725,-,56.455240665766894,60.923676713150314,47.51836857100005
2016-07-25,14,0.6,15.63,15.76,15.69,15.63,114419.7,0.06,0.38,15.724,15.724,15.674,164440.92,204652.15,204034.76,15.724000000000006,15.724000000000006,0.0,15.690557655649453,-,-,15.706828978262092,15.68045782127143,-,-,-,-,-,180474.16000000003,-,-,-,-,-,46.15938982643686,45.27822790981984,-,45.38911381016632,55.78047683310832,24.60638776428233
2016-07-26,15,0.6,15.69,15.79,15.74,15.65,204623.97,0.05,0.32,15.726,15.734000000000002,15.678,171006.08,199569.41,204071.58,15.726000000000004,15.734000000000005,0.0,15.699547172804097,-,-,15.716306413044352,15.68961815646044,-,-,-,-,-,385098.13,-,-,-,-,-,48.584731049368926,50.40963207706333,-,35.81973581973575,45.88803009855632,15.683147262094607
2016-07-27,16,0.6,15.73,15.88,15.88,15.45,406973.31,0.14,0.89,15.752,15.742,15.69,222667.69,204028.69,216006.98,15.752,15.742,0.0,15.732356777748807,-,-,15.763076009317395,15.718907670851141,-,-,-,-,-,792071.44,-,-,-,-,-,54.80362399301707,62.290873473497,-,56.72274585318063,45.9771984943609,78.2138405708201
2016-07-28,17,0.6,15.77,15.79,15.73,15.65,174513.72,-0.14,-0.88,15.73,15.744000000000002,15.692,213529.54,204596.64,213701.8,15.73,15.744000000000002,0.0,15.73192827270357,-,-,15.753625720940997,15.72061418302789,-,-,-,-,-,617557.72,-,-,-,-,-,48.01543916960874,47.621488018874835,-,67.61089152393511,53.38445773228383,96.06375910723769
2016-07-29,18,0.6,15.65,15.71,15.69,15.61,143483.02,0.01,0.06,15.746,15.742,15.692,208802.74,202946.84,210006.07,15.745999999999999,15.742,0.0,15.72430495039383,-,-,15.735446943529283,15.715904308715906,-,-,-,-,-,474074.69999999995,-,-,-,-,-,46.345468103442435,44.28425293621577,-,70.0539265251096,64.79585463407511,80.57007030717858
2016-08-01,19,0.6,15.68,15.85,15.8,15.65,229099.44,0.1,0.64,15.768,15.746,15.698,231738.69,198089.8,210960.74,15.767999999999999,15.745999999999999,15.697500000000002,15.738067686685861,15.697500000000002,-,15.753890673949488,15.728842107374998,0.026563323503419056,0.044966816299975086,-0.01840349279655603,-,-,703174.1399999999,-,-,-,-,-,51.4148271082025,54.74894567477979,-,66.02628918099093,67.89703574334521,62.284796056282346
2016-08-02,20,0.6,15.79,15.85,15.75,15.68,108778.15,-0.05,-0.32,15.77,15.748,15.696,212569.53,191787.8,208313.84,15.77,15.748,15.6955,15.740237198197523,15.7025,-,15.752779052821063,15.732097167778845,0.021763854277168093,0.04032622389541369,-0.018562369618245596,-,-,594395.9899999999,-,-,-,-,-,49.11382874475794,49.66121164544825,-,68.99224806201546,68.35748792270533,70.26176834063574
2016-08-03,21,0.5,15.64,15.72,15.67,15.62,105839.9,-0.08,-0.51,15.728,15.74,15.697,152342.85,187505.27,202117.58,15.728000000000005,15.74,15.697000000000005,15.727466798525246,15.699404761904763,-,15.729127894872189,15.72254375735133,0.0073569726886795195,0.03373237365406685,-0.026375400965387333,-,-,488556.08999999985,-,-,-,-,-,45.55526271138728,42.14210722631887,-,67.44186046511628,67.4867992360409,67.35198292326703
2016-08-04,22,0.4,15.69,15.69,15.6,15.49,156104.98,-0.07,-0.45,15.702,15.716,15.699000000000002,148661.1,181095.32,197673.81,15.702000000000002,15.716,15.698500000000005,15.704291016975201,15.689937641723358,-,15.692234210622992,15.703690871604971,-0.010904635862107881,0.024804971750831906,-0.03570960761293979,-,-,332451.10999999987,-,-,-,-,-,42.6083798546539,36.36142612103845,-,51.937984496123995,62.790697674418574,30.232558139534845
2016-08-05,23,0.5,15.6,15.8,15.72,15.59,176485.17,0.13,0.83,15.708,15.727,15.712,155261.53,182032.14,199047.4,15.708000000000002,15.727,15.712000000000007,15.707147195706982,15.692800723463991,-,15.700167293302137,15.70619996828113,-0.005638371321941449,0.018716303136277236,-0.024354674458218685,-,-,508936.2799999999,-,-,-,-,-,48.80205741807197,50.36692036487249,-,49.61240310077522,56.33074935400516,36.17571059431533
2016-08-08,24,0.5,15.76,15.76,15.73,15.66,131293.67,0.0,0.0,15.694,15.731,15.728,135700.37,183719.53,194185.84,15.694000000000004,15.730999999999998,15.727500000000004,15.711302251032986,15.696343511705516,-,15.708690923787241,15.709861511622494,-0.0008889423659308449,0.01479525403583562,-0.015684196401766465,-,-,640229.95,-,-,15.806431863654886,15.698654314971883,15.59087676628888,49.29947357894306,51.43571676898664,48.61111111111114,54.26356589147292,51.937984496124045,58.914728682170676
2016-08-09,25,0.5,15.75,15.8,15.78,15.71,154808.8,0.04,0.25,15.7,15.735,15.735,144906.5,178738.02,189153.71,15.700000000000005,15.734999999999996,15.734500000000004,15.72379275084517,15.704310796304991,-,15.729064945562316,15.720652048295957,0.008614072601588418,0.01355901774898618,-0.004944945147397762,-,-,795038.75,-0.009999999999999787,-,15.827179895830678,15.705196290374609,15.58321268491854,51.85107336750602,56.99245188724935,49.82311320754717,69.48751076658056,57.78782658627623,92.8868791271892
2016-08-10,26,0.5,15.8,15.85,15.83,15.73,184995.34,0.04,0.25,15.732,15.73,15.736,160737.59,156540.22,180284.45,15.732000000000005,15.73,15.736000000000004,15.743103159782413,15.716281196656897,-,15.75790353254451,15.737474810096579,0.020572419115953977,0.01496169802237974,0.005610721093574238,-,-,980034.09,0.1899999999999995,-,15.879581489504739,15.726010658941028,15.572439828377318,54.35696980572359,62.184658695737106,51.02832265812653,80.03875968992251,67.92994544932533,104.25638817111687
2016-08-11,27,0.6,15.75,16.4,16.06,15.74,526894.19,0.23,1.45,15.824000000000002,15.763,15.754,234895.43,191778.27,198187.45,15.824000000000005,15.763,15.753500000000004,15.8007207670947,15.749016320784811,-,15.844216808960365,15.78709407008172,0.05722537935580263,0.02341443428906432,0.03381094506673831,-,-,1506928.2799999998,0.48999999999999844,-,16.028846919329993,15.780138254422567,15.531429589515142,63.80897212045649,77.3074023221804,56.09072146446516,79.21245421245422,76.2462415563191,85.14487952472444
2016-08-12,28,0.7,16.12,16.39,16.35,16.0,469916.31,0.28,1.74,15.95,15.829,15.786,293581.66,224421.6,213684.22,15.950000000000005,15.829,15.785500000000008,15.900589718532029,15.806252861662449,-,15.988726292114547,15.87369498237684,0.11510462436424795,0.04175247230410105,0.0733521520601469,-,-,1976844.5899999999,0.9000000000000021,-,16.345418759624522,15.88602785853928,15.426636957454036,71.83237073357664,85.86202897365314,61.34774348630607,83.862433862434,81.03788258827025,89.51153641076152
2016-08-15,29,0.7,16.5,17.02,16.94,16.45,773338.62,0.58,3.54,16.192,15.943,15.845,421990.65,278845.51,238467.66,16.192000000000004,15.942999999999998,15.844500000000007,16.08957340607166,15.914228779599359,15.779333333333337,16.26051878008182,16.037741908165017,0.22282923950718825,0.07796782574471849,0.14486141376246975,-,-,2750183.21,1.5200000000000014,-,16.93394190352582,16.084151341093026,15.234360778660232,81.1213925362047,92.63780809598953,69.18095841909627,83.97136632430764,82.34875146639862,87.21659604012567
